No,Suburb,Personal income <$400/week %,Equivalent household income <$600/week %,% dwellings which are public housing,"Holds degree or higher, %",Did not complete year 12 %,Dwellings with no motor vehicle %,Dwellings with no internet %,IRSD (min),IRSD (max),IRSD (avg),"Unpaid carer to person with disability, %","Unpaid carer of children, %",DHS Area,Top country of birth,Top language spoken,Top industry,Top occupation,Latitude,Longitude
1,Ascot-Vale,35.2,33.8,24,62.6,31.9,13.5,17.4,400,1105,990,11.1,26.9,Western Melbourne,Italy,Italian,"Professional, Scientific and Technical Services",Professionals,-37.7833,144.9167
2,Braybrook,58.3,61.5,42.3,48.8,44.5,16.4,26.5,619,969,801,10.3,25.4,Western Melbourne,Vietnam,Vietnamese,Manufacturing,Labourers,-37.7867,144.8548
3,Craigieburn,38.6,36,3.5,32.6,48.9,3.3,12.4,909,1059,990,10.9,35.8,Hume Moreland,India,Turkish,Manufacturing,Clerical and Administrative Workers,-37.5588,144.9124
4,Croydon,37.1,38.3,4.4,35.9,50.6,6.9,18.6,884,1143,1018,12.2,29.2,Outer Eastern Melbourne,England,Mandarin,Health Care and Social Assistance,Professionals,-37.8,145.2833
5,Fawkner,55.3,58.9,3.2,41.8,53.7,11.2,31.4,843,1003,902,13.9,24.6,Hume Moreland,Italy,Italian,Manufacturing,Professionals,-37.7167,144.9667
6,Footscray,44.7,44.3,11.8,63.6,29.8,21,17.2,756,1059,939,9.5,20.4,Western Melbourne,Vietnam,Vietnamese,Accommodation and Food Services,Professionals,-37.8,144.9
7,Glenroy,48.5,51,10.8,41.8,49.4,12.4,26.2,709,1037,931,13,24.5,Hume Moreland,India,Arabic,Manufacturing,Professionals,-37.7,144.9333
8,Malvern-East,36.3,27.7,1,68.4,24.2,9.7,12.1,998,1167,1091,12.3,29.4,Bayside Peninsula,China,Greek,"Professional, Scientific and Technical Services",Professionals,-37.8626,145.0281
9,Malvern,28.7,19.1,0.5,73.2,20.1,7.5,10.4,1059,1147,1103,13.1,29.9,Bayside Peninsula,India,Greek,"Professional, Scientific and Technical Services",Professionals,-37.874,145.0425
10,Melbourne-Airport,32.4,43.8,0,47.5,43.6,18.8,18.8,1070,1070,1070,17.6,43.8,Hume Moreland,New Zealand,Vietnamese,Construction,Managers,-37.6655,144.8363
