no,suburb,lat,lon
1,ASCOT VALE,-37.77583,144.923377
2,BRAYBROOK,-37.779309,144.855359
3,CRAIGIEBURN,-37.598975,144.941287
4,CROYDON,-33.883163,151.114771
5,FAWKNER,-37.759823,144.89571
6,FOOTSCRAY,-37.79977,144.899587
7,GLENROY,-36.055261,146.912777
8,MALVERN,-37.861427,145.028508
9,MALVERN EAST,-37.87837,145.067892
10,MELBOURNE AIRPORT,-37.668873,144.833931
11,MENTONE,-37.982859,145.0649
12,MOORABBIN,-37.934352,145.036735
13,MORDIALLOC,-38.007154,145.086849
14,MURRUMBEENA,-37.89069,145.067589
15,NOBLE PARK,-37.967254,145.176167
16,NORTH MELBOURNE,-37.905996,145.056254
17,NORTHCOTE,-37.769857,144.995276
18,PARKVILLE,-31.981159,150.865404
19,PASCOE VALE SOUTH,-37.739198,144.945722
20,PORT MELBOURNE,-37.975682,145.030468
21,PRAHRAN,-37.849577,144.993714
22,SOMERVILLE,-38.223956,145.175798
23,SORRENTO,-38.344297,144.73807
24,SOUTH MELBOURNE,-37.93291,145.033718
25,SOUTH YARRA,-37.837883,144.991123
26,SPRINGVALE,-35.169517,147.334074
27,ST ANDREWS BEACH,-38.41506,144.823523
28,ST KILDA,-37.867573,144.978814
29,ST KILDA EAST,-37.866458,145.000047
30,ST KILDA WEST,-37.860901,144.972523
31,TOORAK,-37.84216,145.017966
32,TYABB,-38.259808,145.186464
33,WATERWAYS,-38.008051,145.110473
34,WINDSOR,-33.608814,150.817481
